CSDUID,DAUID
1001519,10010165
1001519,10010166
1001519,10010167
1001519,10010168
1001519,10010169
1001519,10010170
1001519,10010171
1001519,10010172
1001519,10010173
1001519,10010174
1001519,10010175
1001519,10010176
1001519,10010180
1001519,10010181
1001519,10010182
1001519,10010187
1001519,10010191
1001519,10010192
1001519,10010193
1001519,10010194
1001519,10010195
1001519,10010196
1001519,10010198
1001519,10010199
1001519,10010200
1001519,10010201
1001519,10010202
1001519,10010203
1001519,10010204
1001519,10010206
1001519,10010207
1001519,10010208
1001519,10010209
1001519,10010210
1001519,10010211
1001519,10010212
1001519,10010213
1001519,10010214
1001519,10010215
1001519,10010216
1001519,10010217
1001519,10010218
1001519,10010219
1001519,10010220
1001519,10010221
1001519,10010222
1001519,10010223
1001519,10010224
1001519,10010225
1001519,10010226
1001519,10010227
1001519,10010228
1001519,10010229
1001519,10010230
1001519,10010231
1001519,10010232
1001519,10010233
1001519,10010234
1001519,10010235
1001519,10010236
1001519,10010237
1001519,10010238
1001519,10010239
1001519,10010240
1001519,10010241
1001519,10010242
1001519,10010243
1001519,10010244
1001519,10010245
1001519,10010246
1001519,10010247
1001519,10010248
1001519,10010249
1001519,10010250
1001519,10010251
1001519,10010252
1001519,10010253
1001519,10010254
1001519,10010255
1001519,10010256
1001519,10010257
1001519,10010258
1001519,10010259
1001519,10010260
1001519,10010261
1001519,10010262
1001519,10010263
1001519,10010264
1001519,10010265
1001519,10010266
1001519,10010267
1001519,10010268
1001519,10010269
1001519,10010270
1001519,10010271
1001519,10010272
1001519,10010273
1001519,10010276
1001519,10010277
1001519,10010278
1001519,10010279
1001519,10010280
1001519,10010281
1001519,10010282
1001519,10010283
1001519,10010284
1001519,10010285
1001519,10010286
1001519,10010290
1001519,10010294
1001519,10010295
1001519,10010296
1001519,10010297
1001519,10010298
1001519,10010299
1001519,10010300
1001519,10010301
1001519,10010302
1001519,10010303
1001519,10010304
1001519,10010305
1001519,10010306
1001519,10010307
1001519,10010308
1001519,10010309
1001519,10010310
1001519,10010337
1001519,10010338
1001519,10010339
1001519,10010340
1001519,10010341
1001519,10010342
1001519,10010343
1001519,10010344
1001519,10010345
1001519,10010346
1001519,10010348
1001519,10010356
1001519,10010357
1001519,10010457
1001519,10010458
1001519,10010459
1001519,10010460
1001519,10010461
1001519,10010482
1001519,10010484
1001519,10010485
1001519,10010486
1001519,10010488
1001519,10010489
1001519,10010490
1001519,10010491
1001519,10010492
1001519,10010493
1001519,10010494
1001519,10010495
1001347,10010496
1001339,10010497
1001343,10010498
1001339,10010499
1001339,10010500
1001339,10010501
1001352,10010502
1001339,10010503
1001357,10010504
1001361,10010505
1001365,10010506
1001365,10010507
1001365,10010508
1001365,10010509
1001370,10010510
1001370,10010511
1001370,10010512
1001370,10010513
1001370,10010514
1001370,10010515
1001370,10010516
1001370,10010517
1001370,10010518
1001370,10010519
1001374,10010520
1001379,10010521
1001379,10010522
1001379,10010523
1001379,10010524
1001379,10010525
1001379,10010526
1001379,10010527
1001374,10010528
1001385,10010529
1001385,10010530
1001394,10010531
1001385,10010532
1001385,10010533
1001375,10010534
1001409,10010535
1001409,10010536
1001409,10010537
1001409,10010538
1001409,10010539
1001409,10010540
1001409,10010541
1001409,10010542
1001409,10010543
1001409,10010544
1001415,10010545
1001426,10010546
1001429,10010547
1001429,10010548
1001434,10010549
1001437,10010550
1001446,10010551
1001446,10010552
1001437,10010553
1001415,10010554
1001415,10010555
1001490,10010556
1001441,10010557
1001452,10010558
1001461,10010559
1001456,10010560
1001461,10010561
1001464,10010562
1001469,10010563
1001472,10010564
1001472,10010565
1001469,10010566
1001472,10010567
1001485,10010568
1001485,10010569
1001485,10010570
1001485,10010571
1001485,10010572
1001485,10010573
1001485,10010574
1001485,10010575
1001485,10010576
1001485,10010577
1001485,10010578
1001485,10010579
1001485,10010580
1001485,10010581
1001485,10010582
1001485,10010583
1001485,10010584
1001485,10010585
1001485,10010586
1001485,10010587
1001485,10010588
1001485,10010589
1001485,10010590
1001485,10010591
1001485,10010592
1001485,10010593
1001485,10010594
1001485,10010595
1001485,10010596
1001485,10010597
1001485,10010598
1001485,10010599
1001485,10010600
1001485,10010601
1001485,10010602
1001485,10010603
1001485,10010604
1001517,10010605
1001517,10010607
1001517,10010608
1001517,10010610
1001517,10010611
1001517,10010614
1001517,10010617
1001517,10010618
1001517,10010619
1001542,10010620
1001542,10010621
1001542,10010622
1001542,10010623
1001542,10010624
1001542,10010625
1001542,10010626
1001542,10010627
1001542,10010628
1001542,10010629
1001542,10010630
1001542,10010631
1001542,10010632
1001542,10010633
1001542,10010634
1001542,10010635
1001542,10010636
1001542,10010637
1001542,10010638
1001542,10010639
1001542,10010640
1001542,10010641
1001542,10010642
1001542,10010643
1001519,10010644
1001542,10010645
1001542,10010646
1001542,10010647
1001542,10010648
1001542,10010649
1001542,10010650
1001542,10010651
1001542,10010652
1001542,10010653
1001542,10010654
1001542,10010655
1001542,10010656
1001542,10010657
1001542,10010658
1001542,10010659
1001542,10010660
1001542,10010661
1001542,10010662
1001542,10010663
1001542,10010664
1001485,10010666
1001485,10010667
1001517,10010668
1001519,10010669
1001519,10010670
1001519,10010671
1001519,10010672
1001519,10010673
1001519,10010674
1001519,10010675
1001519,10010676
1001519,10010677
1001519,10010678
1001551,10010679
1001551,10010680
1001519,10010681
1001565,10010682
1001557,10010683
1001557,10010684
1001559,10010685
1001559,10010686
1001565,10010687
1001519,10010688
1001472,10010689
1001452,10010690
1001421,10010691
1001421,10010692
1001405,10010693
1001293,10010694
1001304,10010695
1001304,10010696
1001304,10010697
1001304,10010698
1001304,10010699
1001304,10010700
1001308,10010701
1001312,10010702
1001316,10010703
1001325,10010704
1001328,10010705
1001321,10010706
1001332,10010707
1001335,10010708
1001259,10010709
1001277,10010710
1001274,10010711
1001270,10010712
1001270,10010713
1001259,10010714
1001281,10010715
1001267,10010716
1001285,10010717
1001289,10010718
1001293,10010719
1001298,10010720
1001298,10010721
1001203,10010722
1001207,10010723
1001155,10010724
1001186,10010725
1001197,10010726
1001192,10010727
1001181,10010728
1001178,10010729
1001174,10010730
1001169,10010731
1001101,10010732
1001120,10010733
1001105,10010734
1001113,10010735
1001113,10010736
1001124,10010737
1001136,10010738
1001140,10010739
1001131,10010740
1001124,10010741
1001126,10010742
1001124,10010743
1001149,10010744
1001144,10010745
1001214,10010746
1001219,10010747
1001228,10010748
1001225,10010749
1001234,10010750
1001263,10010751
1001254,10010752
1001240,10010753
1001240,10010754
1001240,10010755
1001240,10010756
1001240,10010757
1001240,10010758
1001240,10010759
1001240,10010760
1001240,10010761
1001396,10010762
1001391,10010763
1001396,10010764
1001396,10010765
1001396,10010766
1001396,10010767
1001504,10010768
1001504,10010769
1001504,10010770
1001504,10010771
1001504,10010772
1001519,10010773
1001519,10010774
1001509,10010776
1001511,10010777
1001509,10010778
1001509,10010779
1001509,10010780
1001509,10010781
1001509,10010782
1001509,10010783
1001509,10010784
1001509,10010785
1001509,10010786
1001509,10010787
1001512,10010788
1001505,10010789
1001505,10010790
1001505,10010791
1001507,10010792
1001507,10010793
1001511,10010794
1001511,10010795
1001511,10010796
1001519,10010797
1001504,10010798
1001504,10010799
1001504,10010800
1001504,10010801
1001504,10010802
1001517,10010803
1001517,10010804
1001517,10010805
1001517,10010806
1001494,10010807
1001494,10010808
1001494,10010809
1001494,10010810
1001494,10010811
1001519,10010813
1001519,10010814
1001519,10010815
1001517,10010817
1001517,10010818
1001517,10010820
1001519,10010821
1001519,10010822
1001519,10010823
1001519,10010824
1001519,10010827
1001517,10010828
1001517,10010830
1001517,10010832
1001517,10010833
1001519,10010834
1001519,10010835
1001519,10010836
1001519,10010837
1001519,10010838
1001519,10010839
1001519,10010840
1001519,10010841
1001519,10010842
1001519,10010844
1001519,10010846
1002048,10020079
1002044,10020080
1002031,10020081
1002037,10020082
1002034,10020083
1002040,10020084
1002033,10020085
1002026,10020086
1002055,10020087
1002027,10020088
1002041,10020089
1002029,10020090
1002036,10020091
1002039,10020092
1002030,10020093
1002021,10020094
1002017,10020095
1002023,10020096
1002024,10020097
1002024,10020098
1002024,10020099
1002024,10020100
1002024,10020101
1002024,10020102
1002024,10020103
1002024,10020104
1002022,10020105
1002024,10020106
1002024,10020107
1002025,10020108
1002022,10020109
1002005,10020110
1002005,10020111
1002002,10020112
1002001,10020113
1002005,10020114
1002005,10020115
1002005,10020116
1002006,10020117
1002008,10020118
1002008,10020119
1002008,10020120
1002009,10020121
1002011,10020122
1002011,10020123
1002013,10020124
1002012,10020125
1002015,10020126
1002014,10020127
1002018,10020128
1002018,10020129
