CSDUID,Average_Travel_Minutes
1001101,6.0
1001105,5.0
1001113,5.0
1001120,4.0
1001124,5.0
1001126,6.0
1001131,4.0
1001136,4.0
1001140,4.0
1001144,5.0
1001149,3.0
1001155,3.0
1001169,4.0
1001174,6.0
1001178,6.0
1001181,6.0
1001186,6.0
1001192,4.0
1001197,5.0
1001203,4.0
1001207,4.0
1001214,4.0
1001219,5.0
1001225,5.0
1001228,6.0
1001234,5.0
1001240,5.0
1001254,4.0
1001259,4.0
1001263,2.0
1001267,5.0
1001270,4.0
1001274,3.0
1001277,3.0
1001281,2.0
1001285,2.0
1001289,1.0
1001293,2.0
1001298,3.0
1001304,3.0
1001308,2.0
1001312,3.0
1001316,4.0
1001321,4.0
1001325,4.0
1001328,6.0
1001332,8.0
1001335,6.0
1001339,4.0
1001343,4.0
1001347,4.0
1001352,5.0
1001357,3.0
1001361,6.0
1001365,5.0
1001370,7.0
1001374,9.0
1001375,9.0
1001379,9.0
1001385,9.0
1001391,
1001394,8.0
1001396,4.0
1001405,3.0
1001409,2.0
1001415,7.0
1001421,5.0
1001426,6.0
1001429,6.0
1001434,7.0
1001437,8.0
1001441,6.0
1001446,7.0
1001452,5.0
1001456,3.0
1001461,3.0
1001464,3.0
1001469,5.0
1001472,7.0
1001485,12.0
1001490,18.0
1001494,18.0
1001504,20.0
1001505,23.0
1001507,23.0
1001509,29.0
1001511,32.0
1001512,33.0
1001517,24.0
1001519,27.0
1001542,15.0
1001551,10.0
1001557,10.0
1001559,16.0
1001565,10.0
1002001,46.0
1002002,84.0
1002005,72.0
1002006,82.0
1002008,83.0
1002009,84.0
1002011,85.0
1002012,80.0
1002013,28.0
1002014,22.0
1002015,37.0
1002016,36.0
1002017,40.0
1002018,40.0
1002019,45.0
1002021,48.0
1002022,43.0
1002023,38.0
1002024,29.0
1002025,25.0
1002026,24.0
1002027,33.0
1002029,
1002030,45.0
1002031,23.0
1002033,14.0
1002034,8.0
1002036,8.0
1002037,1.0
1002039,5.0
1002040,2.0
1002041,2.0
1002044,3.0
1002048,2.0
1002055,9.0
1003001,
1003002,
1003003,164.0
1003004,155.0
1003005,165.0
1003006,
1003008,167.0
1003009,150.0
1003010,167.0
1003011,166.0
1003012,167.0
1003014,
1003018,
1003019,42.0
1003020,3.0
1003021,
1003024,
1003026,
1003028,33.0
1003031,16.0
1003032,20.0
1003033,7.0
1003034,32.0
1003038,
1003042,120.0
1003045,121.0
1003801,142.0
1004001,35.0
1004006,2.0
1004011,3.0
1004013,5.0
1004016,5.0
1004017,3.0
1004018,10.0
1004019,20.0
1004020,60.0
1004021,46.0
1004022,42.0
1004033,40.0
1004037,70.0
1004042,57.0
1005001,115.0
1005003,147.0
1005004,49.0
1005005,36.0
1005006,37.0
1005007,40.0
1005008,52.0
1005009,21.0
1005010,22.0
1005011,22.0
1005012,18.0
1005014,5.0
1005015,3.0
1005016,4.0
1005017,2.0
1005018,14.0
1005019,28.0
1005020,64.0
1005022,46.0
1005023,5.0
1005024,9.0
1005025,5.0
1005028,7.0
1005030,11.0
1005033,10.0
1005035,7.0
1006001,14.0
1006003,5.0
1006008,5.0
1006009,18.0
1006011,28.0
1006012,14.0
1006014,14.0
1006015,12.0
1006017,13.0
1006019,4.0
1006021,6.0
1006022,13.0
1006026,85.0
1006028,77.0
1006029,76.0
1006031,5.0
1007001,98.0
1007006,80.0
1007009,66.0
1007013,67.0
1007014,39.0
1007015,49.0
1007016,41.0
1007018,47.0
1007020,50.0
1007022,68.0
1007023,41.0
1007024,50.0
1007025,42.0
1007026,47.0
1007027,39.0
1007028,32.0
1007031,22.0
1007032,7.0
1007036,7.0
1007037,7.0
1007038,6.0
1007039,20.0
1007040,13.0
1007041,23.0
1007042,20.0
1007043,17.0
1007044,27.0
1007045,22.0
1007046,24.0
1007047,26.0
1007048,10.0
1007049,5.0
1007050,4.0
1007051,3.0
1007054,9.0
1007056,7.0
1007057,8.0
1007060,24.0
1007067,18.0
1008001,17.0
1008004,14.0
1008006,8.0
1008008,35.0
1008011,6.0
1008024,6.0
1008026,2.0
1008029,4.0
1008031,20.0
1008032,24.0
1008033,40.0
1008035,49.0
1008036,45.0
1008037,41.0
1008038,43.0
1008039,43.0
1008040,53.0
1008042,50.0
1008043,54.0
1008044,71.0
1008045,92.0
1008046,89.0
1008047,88.0
1008048,57.0
1008049,77.0
1008052,82.0
1008053,131.0
1008054,60.0
1008055,70.0
1008056,73.0
1008058,72.0
1008059,70.0
1008060,57.0
1008061,55.0
1008062,30.0
1008063,14.0
1008064,
1008065,18.0
1008066,52.0
1008067,25.0
1008069,33.0
1008070,1.0
1008071,21.0
1008072,18.0
1008073,28.0
1008074,29.0
1008075,55.0
1008076,71.0
1008077,88.0
1008078,69.0
1008079,60.0
1008091,52.0
1008092,68.0
1008093,60.0
1008095,49.0
1008096,49.0
1008098,55.0
1008099,90.0
1009001,25.0
1009004,18.0
1009007,23.0
1009008,20.0
1009009,16.0
1009010,16.0
1009011,12.0
1009012,18.0
1009013,30.0
1009015,55.0
1009016,54.0
1009017,30.0
1009018,46.0
1009019,50.0
1009020,33.0
1009021,22.0
1009022,22.0
1009023,41.0
1009024,51.0
1009026,36.0
1009028,28.0
1009029,44.0
1009030,40.0
1009031,46.0
1009032,42.0
1009034,11.0
1009035,71.0
1009037,7.0
1009039,19.0
1009041,9.0
1009042,7.0
1009047,56.0
1009048,50.0
1010001,
1010002,
1010003,
1010004,44.0
1010005,36.0
1010006,38.0
1010007,4.0
1010008,3.0
1010009,6.0
1010010,6.0
1010011,7.0
1010012,11.0
1010013,11.0
1010020,25.0
1010022,11.0
1010025,14.0
1010029,3.0
1010032,120.0
1010034,39.0
1010042,
1010801,
1010802,44.0
1011005,
1011010,2914.0
1011015,2912.0
1011020,2257.0
1011030,
1011035,1591.0
1011040,
1101002,60.0
1101003,62.0
1101004,35.0
1101005,36.0
1101020,36.0
1101025,40.0
1101027,45.0
1101030,50.0
1101033,37.0
1101035,41.0
1101036,39.0
1101037,57.0
1101040,34.0
1101043,53.0
1101044,36.0
1101045,44.0
1101048,41.0
1101050,31.0
1101052,38.0
1102002,15.0
1102003,11.0
1102005,10.0
1102010,10.0
1102011,11.0
1102013,8.0
1102015,8.0
1102016,6.0
1102017,3.0
1102018,5.0
1102019,5.0
1102020,5.0
1102021,4.0
1102022,7.0
1102030,6.0
1102032,7.0
1102034,6.0
1102035,8.0
1102037,7.0
1102040,8.0
1102043,8.0
1102045,8.0
1102046,8.0
1102050,8.0
1102051,9.0
1102055,8.0
1102057,5.0
1102059,7.0
1102061,6.0
1102064,10.0
1102066,11.0
1102067,13.0
1102068,16.0
1102069,16.0
1102070,14.0
1102071,21.0
1102072,30.0
1102073,22.0
1102075,17.0
1102080,21.0
1102085,16.0
1103002,67.0
1103003,64.0
1103004,50.0
1103005,48.0
1103007,45.0
1103008,55.0
1103014,25.0
1103015,7.0
1103018,9.0
1103020,7.0
1103021,5.0
1103022,6.0
1103023,5.0
1103024,5.0
1103025,10.0
1103027,14.0
1103029,10.0
1103033,10.0
1103035,9.0
1103039,22.0
1103040,32.0
1103042,34.0
1103043,61.0
1103050,63.0
1103052,67.0
1103053,55.0
1103055,68.0
1103057,61.0
1103059,62.0
1103060,42.0
1103061,29.0
1103062,16.0
1103063,20.0
1103064,19.0
1103065,36.0
1103066,56.0
1103067,31.0
1103068,23.0
1201001,18.0
1201004,33.0
1201006,42.0
1201008,34.0
1201009,29.0
1202001,9.0
1202004,8.0
1202006,24.0
1202040,38.0
1203001,23.0
1203004,36.0
1203006,24.0
1203009,17.0
1204001,35.0
1204009,43.0
1204010,18.0
1204015,34.0
1205001,37.0
1205002,
1205004,44.0
1205006,38.0
1205008,45.0
1205009,35.0
1205014,40.0
1205016,29.0
1206001,17.0
1206004,37.0
1206006,12.0
1206008,16.0
1206009,16.0
1206011,20.0
1206014,21.0
1206016,
1207001,8.0
1207002,9.0
1207004,13.0
1207011,19.0
1207012,16.0
1207016,23.0
1207021,34.0
1207024,29.0
1207027,19.0
1208003,28.0
1208008,25.0
1208014,22.0
1209019,21.0
1209034,
1209037,18.0
1209038,26.0
1209800,38.0
1210001,24.0
1210002,20.0
1210003,12.0
1210006,8.0
1210008,15.0
1210012,30.0
1211001,46.0
1211006,22.0
1211009,48.0
1211011,9.0
1211012,6.0
1211014,18.0
1212001,15.0
1212004,4.0
1212006,6.0
1212008,7.0
1212009,10.0
1212011,18.0
1212014,16.0
1212016,28.0
1212019,30.0
1212023,
