DAUID,PRUID,Province,x,y,Population
10010165,NL,Newfoundland and Labrador,-52.7763956420882,47.5276992429088,500
10010166,NL,Newfoundland and Labrador,-52.775134205611,47.5273330025855,340
10010167,NL,Newfoundland and Labrador,-52.7725909069635,47.5298152085621,407
10010168,NL,Newfoundland and Labrador,-52.7677638077958,47.5300710583772,523
10010169,NL,Newfoundland and Labrador,-52.7695834700674,47.5319032935971,285
10010170,NL,Newfoundland and Labrador,-52.7708534286159,47.5335385326616,407
10010171,NL,Newfoundland and Labrador,-52.7749098685898,47.5333880978505,461
10010172,NL,Newfoundland and Labrador,-52.768680273601,47.5351449226834,248
10010173,NL,Newfoundland and Labrador,-52.7620437106605,47.5394792074971,808
10010174,NL,Newfoundland and Labrador,-52.7652878501536,47.537065249038,866
10010175,NL,Newfoundland and Labrador,-52.7603975643731,47.5351665923272,971
10010176,NL,Newfoundland and Labrador,-52.7551826695461,47.5353010505707,450
10010180,NL,Newfoundland and Labrador,-52.7636264196044,47.5166366585823,518
10010181,NL,Newfoundland and Labrador,-52.7608181980657,47.5221774134455,434
10010182,NL,Newfoundland and Labrador,-52.7625010845849,47.5193573669871,399
10010187,NL,Newfoundland and Labrador,-52.7495426639075,47.51978132803,652
10010191,NL,Newfoundland and Labrador,-52.7012518155061,47.5447601572582,675
10010192,NL,Newfoundland and Labrador,-52.7099126555566,47.5438024886945,294
10010193,NL,Newfoundland and Labrador,-52.7132851876671,47.545712159272,451
10010194,NL,Newfoundland and Labrador,-52.7174372889343,47.5407250406294,223
10010195,NL,Newfoundland and Labrador,-52.7290388996799,47.5390862710663,621
10010196,NL,Newfoundland and Labrador,-52.7294597565978,47.54203846563,529
10010198,NL,Newfoundland and Labrador,-52.7327412651508,47.543350676804,407
10010199,NL,Newfoundland and Labrador,-52.7368681706081,47.5389629564888,440
10010200,NL,Newfoundland and Labrador,-52.7382492646872,47.5425968667034,369
10010201,NL,Newfoundland and Labrador,-52.7413134507723,47.5403626262543,488
10010202,NL,Newfoundland and Labrador,-52.7469853651858,47.5396232552666,440
10010203,NL,Newfoundland and Labrador,-52.7468019738265,47.5422701531192,354
10010204,NL,Newfoundland and Labrador,-52.7492266245842,47.5374231751116,553
10010206,NL,Newfoundland and Labrador,-52.7525754063359,47.5420090328413,811
10010207,NL,Newfoundland and Labrador,-52.7541499218413,47.5453218125427,1246
10010208,NL,Newfoundland and Labrador,-52.7584279759082,47.5487337099574,1767
10010209,NL,Newfoundland and Labrador,-52.7456944436412,47.5513907374048,482
10010210,NL,Newfoundland and Labrador,-52.7454601983854,47.5466419655784,401
10010211,NL,Newfoundland and Labrador,-52.7374643432628,47.5450618109517,641
10010212,NL,Newfoundland and Labrador,-52.7328150824355,47.5486945526604,350
10010213,NL,Newfoundland and Labrador,-52.7284267201144,47.5455590169524,604
10010214,NL,Newfoundland and Labrador,-52.7266068693658,47.5487645213766,346
10010215,NL,Newfoundland and Labrador,-52.7243624041362,47.5480300524733,383
10010216,NL,Newfoundland and Labrador,-52.7215816762014,47.5505538375629,401
10010217,NL,Newfoundland and Labrador,-52.7268991570013,47.5512942580832,370
10010218,NL,Newfoundland and Labrador,-52.7300698122434,47.5533815413928,315
10010219,NL,Newfoundland and Labrador,-52.7359878964325,47.5517361139968,576
10010220,NL,Newfoundland and Labrador,-52.7400719761317,47.5543320261863,335
10010221,NL,Newfoundland and Labrador,-52.731250258554,47.5568684264021,554
10010222,NL,Newfoundland and Labrador,-52.7331814259862,47.5592431384951,511
10010223,NL,Newfoundland and Labrador,-52.7276955482045,47.56159218708,495
10010224,NL,Newfoundland and Labrador,-52.7266481334268,47.5578563440671,427
10010225,NL,Newfoundland and Labrador,-52.7253160635656,47.5596553361597,247
10010226,NL,Newfoundland and Labrador,-52.7217723491034,47.5596463743559,593
10010227,NL,Newfoundland and Labrador,-52.7187321631108,47.5619867363305,349
10010228,NL,Newfoundland and Labrador,-52.7192011217616,47.5629513830503,374
10010229,NL,Newfoundland and Labrador,-52.7221455847916,47.5645653260808,449
10010230,NL,Newfoundland and Labrador,-52.719046790399,47.5657613773789,472
10010231,NL,Newfoundland and Labrador,-52.7231032578343,47.5671041340268,486
10010232,NL,Newfoundland and Labrador,-52.726948448355,47.565934170157,394
10010233,NL,Newfoundland and Labrador,-52.7292235410709,47.567037233102,389
10010234,NL,Newfoundland and Labrador,-52.7272167242633,47.5641673586033,498
10010235,NL,Newfoundland and Labrador,-52.7331731865702,47.56426273289,287
10010236,NL,Newfoundland and Labrador,-52.7357369178587,47.5653993091424,491
10010237,NL,Newfoundland and Labrador,-52.7355852559451,47.5672705173105,506
10010238,NL,Newfoundland and Labrador,-52.742668779084,47.5657680998111,578
10010239,NL,Newfoundland and Labrador,-52.7388607591539,47.562205324037,569
10010240,NL,Newfoundland and Labrador,-52.7436982469078,47.5589370965234,679
10010241,NL,Newfoundland and Labrador,-52.7411051538403,47.557964956055,481
10010242,NL,Newfoundland and Labrador,-52.7482602069469,47.5577733131877,627
10010243,NL,Newfoundland and Labrador,-52.7820858305847,47.5545701654846,1131
10010244,NL,Newfoundland and Labrador,-52.7641636143389,47.5619325897123,749
10010245,NL,Newfoundland and Labrador,-52.7596560277605,47.5649780228893,542
10010246,NL,Newfoundland and Labrador,-52.7535655164787,47.5640969577528,450
10010247,NL,Newfoundland and Labrador,-52.7500130520108,47.5646842973469,370
10010248,NL,Newfoundland and Labrador,-52.7460625126193,47.5632156681301,373
10010249,NL,Newfoundland and Labrador,-52.7476090851435,47.5703087911741,437
10010250,NL,Newfoundland and Labrador,-52.7272499122003,47.5706231094251,473
10010251,NL,Newfoundland and Labrador,-52.7229458698454,47.5724123721957,438
10010252,NL,Newfoundland and Labrador,-52.7196938627977,47.5759819433159,522
10010253,NL,Newfoundland and Labrador,-52.7247943252941,47.5767878889995,369
10010254,NL,Newfoundland and Labrador,-52.7192547038643,47.5845651214804,753
10010255,NL,Newfoundland and Labrador,-52.7169258635671,47.5812230892022,525
10010256,NL,Newfoundland and Labrador,-52.7110018978724,47.5844085050198,446
10010257,NL,Newfoundland and Labrador,-52.7128342725025,47.5783586845035,527
10010258,NL,Newfoundland and Labrador,-52.7087799460444,47.5787426969411,585
10010259,NL,Newfoundland and Labrador,-52.7063018604516,47.5805139014289,492
10010260,NL,Newfoundland and Labrador,-52.7036012895921,47.5853956082,402
