DAUID,PRUID,Total_Minutes,Total_Kilometres
10030070,NL,111.3942621,123.1933983
10030071,NL,468.6324514,40.38443984
10030077,NL,787.0518813,72.22441222
24980048,QC,127.7241621,167.3717252
24980057,QC,3.7304869,2.49449992
24990263,QC,53.77382109,66.41796232
35560314,ON,7.74869431,7.28694623
35600409,ON,94.24614907,105.4785004
46190101,MB,550.0835785,333.3123994
46190103,MB,179.0311662,246.0219486
46190106,MB,600.9460053,292.0839182
46190107,MB,122.0272377,169.3670929
46190110,MB,123.8846421,168.3981894
46190111,MB,123.4777645,170.3588338
46190112,MB,118.9161559,166.3574925
46190113,MB,123.770644,170.4906368
46190145,MB,66.99240674,102.1948312
46190146,MB,188.1568649,253.5472606
46210114,MB,62.5445863,92.36344548
46220083,MB,129.2321437,52.71972306
46220144,MB,620.0296852,518.5381259
46220155,MB,620.0296852,518.5381259
46220156,MB,629.3913727,521.4832883
46220157,MB,634.3558296,524.8758153
46220158,MB,642.2782377,530.1014586
46220198,MB,517.6253653,319.9862083
47180371,SK,70.82207315,92.92672922
48160091,AB,438.7236612,258.6967249
48160094,AB,211.8062448,168.1340718
48160095,AB,476.402508,247.674839
48160101,AB,331.2979521,239.0058555
48160102,AB,221.0765613,169.8336905
48160244,AB,22.47688187,33.39301602
48160245,AB,50.64684843,27.70919197
48170239,AB,20.03897611,32.14631746
48170270,AB,196.2315766,245.3326717
48170404,AB,60.82199032,86.59979428
59090461,BC,23.1206816,17.59122514
59240419,BC,52.78566479,31.33880384
59270048,BC,44.9604278,27.15844023
59270088,BC,108.7587176,59.67663616
59290096,BC,138.4399176,83.25980419
59290097,BC,43.07649742,44.56644787
59290121,BC,16.26291323,17.4447305
59290123,BC,54.05951452,23.02423129
59290124,BC,54.05951452,23.02423129
59290125,BC,54.05951452,23.02423129
59410410,BC,62.58497624,83.04490674
59470062,BC,41.53381292,23.20641862
59470064,BC,818.875086,70.71282099
59510222,BC,32.70984467,39.43163127
59510291,BC,102.1677495,81.73760974
59550117,BC,62.34483078,31.38220643
59550224,BC,92.70205565,124.3068638
59550251,BC,159.3968257,141.121278
59550252,BC,850.5789332,257.9417899
59590013,BC,181.5487039,246.8612972
59590035,BC,244.0512012,118.2077471
10040085,NL,3.21518017,1.78738365
10010540,NL,20.01365792,23.09584872
10040086,NL,4.40844172,2.50915412
10010165,NL,4.51079855,2.82883283
10010541,NL,16.39789787,21.3171921
10040087,NL,4.62595958,2.17903022
10010542,NL,16.32091936,22.65915298
10010166,NL,4.07928455,2.45012537
10040088,NL,4.76584665,2.60164406
10010543,NL,15.81328997,22.02523804
10010167,NL,4.36581152,2.32112221
10040089,NL,4.82062945,2.32803381
10010544,NL,15.13983801,21.60434222
10010168,NL,3.94205351,1.99258038
10040090,NL,2.30044562,1.4667259
10010545,NL,20.68121294,25.84263229
10010169,NL,3.55725364,2.01973695
10040091,NL,8.64002437,5.24577979
10010546,NL,20.47145126,29.65522561
10010170,NL,3.68070421,2.03556737
10040092,NL,8.10418302,5.94385262
10010547,NL,26.24204933,28.43723194
10010171,NL,4.93052945,2.74621356
10040093,NL,9.19932744,5.91715163
10010548,NL,19.85027479,25.26057433
10010172,NL,3.48662316,2.06043808
10040094,NL,9.48157393,6.7185603
10010549,NL,22.77835998,27.55417094
10010173,NL,5.19415606,2.91223649
10040095,NL,8.89101502,6.22642787
10010550,NL,26.14837471,30.42618311
10010174,NL,3.47765996,2.02201387
10040096,NL,14.74565946,10.86189385
10010551,NL,29.77128967,31.55438576
10010175,NL,2.81394015,1.58168343
10040097,NL,27.35158824,21.26234092
10010552,NL,31.06578943,33.03758805
10010176,NL,3.59563609,1.94822866
10040098,NL,1.45232002,0.85170451
10040099,NL,7.90753156,6.03416939
10010553,NL,29.71422272,32.86615013
10010180,NL,3.59382787,1.90474468
10010554,NL,28.51503291,30.59774415
10040100,NL,8.89095215,9.75546347
10010181,NL,1.99716563,1.21255996
10010555,NL,22.45361195,26.55670652
10010556,NL,6.52274697,4.34842318
10040101,NL,14.33505839,14.76406438
10010182,NL,2.62857701,1.67498599
10010557,NL,33.11181352,36.04490076
10040102,NL,13.75990349,14.83150619
10010187,NL,2.89207073,1.95019437
10010558,NL,35.30292595,37.87073155
10040103,NL,37.47160817,49.78743849
10010191,NL,5.11639355,3.2007578
10010559,NL,34.9670678,46.48448172
10040104,NL,12.79786122,11.30236107
10010192,NL,5.40045784,3.33128394
10010560,NL,36.68296319,47.02811906
10040105,NL,21.32582948,23.15295454
