ED_ID,Province,PRUID,ED_Name,x,y,lat,lng,Address,City,Postal_Code
1,Alberta,AB,BASSANO HEALTH CENTRE,-112.4612382,50.78928528,50.78928528,-112.4612382,608 5 AVE,BASSANO,T0J0B0
2,Alberta,AB,BARRHEAD HEALTHCARE CENTRE,-114.4003156,54.11971067,54.11971067,-114.4003156,4815 51 AVE,BARRHEAD,T7N1M1
3,Alberta,AB,ALBERTA HEALTH SVCS MINERAL SPRINGS HOSPITAL,-115.5759879,51.17913935,51.17913935,-115.5759879,305 LYNX ST,BANFF,T1L1H7
4,Alberta,AB,ATHABASCA HEALTHCARE CENTRE,-113.2538411,54.71711879,54.71711879,-113.2538411,3100 48 AVENUE,ATHABASCA,T9S1M9
5,Alberta,AB,BIG COUNTRY HOSPITAL,-110.4786349,51.35181798,51.35181798,-110.4786349,312 3 AVE E,OYEN,T0J2J0
6,Alberta,AB,BEAVERLODGE MUNICIPAL HOSPITAL,-119.3200327,55.21423518,55.21423518,-119.3200327,422 10A ST,BEAVERLODGE,T0H0C0
7,Alberta,AB,BOW ISLAND HEALTH CENTRE,-111.379417,49.86546356,49.86546356,-111.379417,938 CENTRE ST,BOW ISLAND,T0K0G0
8,Alberta,AB,BOYLE HEALTHCARE CENTRE,-112.8033866,54.58835704,54.58835704,-112.8033866,5004 LAKEVIEW ROAD ,BOYLE,T0A0M0
9,Alberta,AB,BROOKS HEALTH CENTRE,-111.8900473,50.56953471,50.56953471,-111.8900473,440 3 ST E,BROOKS,T1R0G5
10,Alberta,AB,BONNYVILLE HEALTHCARE CENTRE,-110.7399626,54.26308694,54.26308694,-110.7399626,5001 LAKESHORE DR,BONNYVILLE,T9N2J7
11,Alberta,AB,CANMORE GENERAL HOSPITAL,-115.3517813,51.09303791,51.09303791,-115.3517813,1100 HOSPITAL PL,CANMORE,T1W1N2
12,Alberta,AB,CARDSTON HOSPITAL,-113.3073,49.2013797,49.2013797,-113.3073,144 2 ST W,CARDSTON,T0K1J0
13,Alberta,AB,CENTRAL PEACE HEALTH COMPLEX,-118.8386316,55.77746843,55.77746843,-118.8386316,5010 45 AVE,SPIRIT RIVER,T0H3G0
14,Alberta,AB,CLARESHOLM GENERAL HOSPITAL,-113.5831812,50.01923745,50.01923745,-113.5831812,221 43 AVE W,CLARESHOLM,T0L0T0
15,Alberta,AB,CHINOOK REGIONAL HOSPITAL,-112.8146675,49.68465002,49.68465002,-112.8146675,960 19 ST S,LETHBRIDGE,T1J1W5
16,Alberta,AB,CONSORT HOSPITAL AND CARE CENTRE,-110.7809621,52.01037594,52.01037594,-110.7809621,5402 52 AVE,CONSORT,T0C1B0
17,Alberta,AB,COLD LAKE HEALTHCARE CENTRE,-110.1980687,54.4684377,54.4684377,-110.1980687,314 25 ST,COLD LAKE,T9M1G6
18,Alberta,AB,DAYSLAND HEALTH CENTRE,-112.273696,52.86874821,52.86874821,-112.273696,5920 51 AVE,DAYSLAND,T0B1A0
19,Alberta,AB,CROWSNEST PASS HOSPITAL,-114.4601755,49.61827616,49.61827616,-114.4601755,2001 107 ST,BLAIRMORE,T0K0E0
20,Alberta,AB,CORONATION HOSPITAL AND CARE CENTRE,-111.4571843,52.09558419,52.09558419,-111.4571843,5000 MUNICIPAL RD,CORONATION,T0C1C0
21,Alberta,AB,DIDSBURY DISTRICT HEALTH SERVICES,-114.12539,51.66065449,51.66065449,-114.12539,1210 20 AVE,DIDSBURY,T0M0W0
22,Alberta,AB,DEVON GENERAL HOSPITAL,-113.728234,53.35185097,53.35185097,-113.728234,101 ERIE ST S,DEVON,T9G1A6
