CSDUID,Total_Sec,Total_Min
1001101,300.775938,6.0
1001105,279.1578054,5.0
1001113,245.35061483703703,5.0
1001120,230.037786,4.0
1001124,258.16715219781497,5.0
1001126,314.2619394,6.0
1001131,230.4920148,4.0
1001136,196.1489868,4.0
1001140,238.60585800000004,4.0
1001144,244.1541066,5.0
1001149,149.689638,3.0
1001155,174.8112324,3.0
1001169,195.8527248,4.0
1001174,333.4027974,6.0
1001178,358.75885739999995,6.0
1001181,343.7536362,6.0
1001186,358.96466280000004,6.0
1001192,221.15290500000003,4.0
1001197,286.328883,5.0
1001203,213.462036,4.0
1001207,226.1217438,4.0
1001214,238.124415,4.0
1001219,264.9878034,5.0
1001225,283.63319640000003,5.0
1001228,302.3276268,6.0
1001234,244.9162524,5.0
1001240,265.32456371346916,5.0
1001254,193.752885,4.0
1001259,181.86925462603367,4.0
1001263,119.54167019999998,2.0
1001267,256.85240880000003,5.0
1001270,228.49945727053944,4.0
1001274,130.2803844,3.0
1001277,165.76070940000002,3.0
1001281,61.0352214,2.0
1001285,63.0204438,2.0
1001289,55.3820742,1.0
1001293,94.62644394599505,2.0
1001298,141.16989019916232,3.0
1001304,177.98547668021166,3.0
1001308,100.6904112,2.0
1001312,122.31686100000002,3.0
1001316,239.4565524,4.0
1001321,199.8535482,4.0
1001325,184.5170466,4.0
1001328,321.3360354,6.0
1001332,425.0595132,8.0
1001335,314.61528480000004,6.0
1001339,212.55373186586968,4.0
1001343,192.1037988,4.0
1001347,214.07168940000003,4.0
1001352,294.5149656,5.0
1001357,171.2512488,3.0
1001361,323.8674216,6.0
1001365,295.23746381254523,5.0
1001370,394.59458804833906,7.0
1001374,507.1175946,9.0
1001375,482.4572424,9.0
1001379,482.03748194699574,9.0
1001385,508.5225315880085,9.0
1001391,,
1001394,421.5921186,8.0
1001396,228.4061594664639,4.0
1001405,173.0952648,3.0
1001409,97.0449154195179,2.0
1001415,362.23557576659033,7.0
1001421,277.60585468034935,5.0
1001426,325.5329406,6.0
1001429,309.2474987532857,6.0
1001434,391.2292464,7.0
1001437,464.6333579854078,8.0
1001441,343.7246328,6.0
1001446,405.636417504721,7.0
1001452,257.33557293220747,5.0
1001456,171.4238592,3.0
1001461,162.10592704519232,3.0
1001464,164.0676012,3.0
1001469,272.79996559098595,5.0
1001472,367.2310503406718,7.0
1001485,675.5932123790635,12.0
1001490,1043.6546064,18.0
1001494,1044.3534127034711,18.0
1001504,1176.8369241236362,20.0
1001505,1331.6553881223463,23.0
1001507,1339.7112818254357,23.0
1001509,1704.1187839329596,29.0
1001511,1914.1912828649745,32.0
1001512,1921.543368,33.0
1001517,1397.0975073182558,24.0
1001519,1565.6021872050144,27.0
1001542,881.2834590460739,15.0
1001551,562.439654884055,10.0
1001557,563.7664961551724,10.0
1001559,915.2239650965854,16.0
1001565,543.0101741999999,10.0
1002001,2714.3017716,46.0
1002002,4984.1827842,84.0
1002005,4303.625420082431,72.0
1002006,4916.567532,82.0
1002008,4959.223092984214,83.0
1002009,5025.982554,84.0
1002011,5049.3820587262435,85.0
1002012,4744.4272782,80.0
1002013,1632.4539774,28.0
1002014,1281.1520088000002,22.0
1002015,2177.3580636,37.0
1002016,2151.9141918,36.0
1002017,2366.7772284,40.0
1002018,2396.283857458366,40.0
1002019,2663.3720975509295,45.0
1002021,2840.9761386,48.0
1002022,2531.864136,43.0
1002023,2222.0006178,38.0
1002024,1695.7199343733284,29.0
1002025,1497.984111,25.0
1002026,1435.6807188,24.0
1002027,1975.2060486,33.0
1002029,,
1002030,2657.1573876,45.0
1002031,1367.273436,23.0
1002033,830.035608,14.0
1002034,436.988643,8.0
1002036,421.1787108,8.0
1002037,33.4152828,1.0
1002039,272.6043648,5.0
