"","DAUID","PRUID","y","x","Population"
"1",10010165,10,47.5276992429088,-52.7763956420882,500
"2",10010166,10,47.5273330025855,-52.775134205611,340
"3",10010167,10,47.5298152085621,-52.7725909069635,407
"4",10010168,10,47.5300710583772,-52.7677638077958,523
"5",10010169,10,47.5319032935971,-52.7695834700674,285
"6",10010170,10,47.5335385326616,-52.7708534286159,407
"7",10010171,10,47.5333880978505,-52.7749098685898,461
"8",10010172,10,47.5351449226834,-52.768680273601,248
"9",10010173,10,47.5394792074971,-52.7620437106605,808
"10",10010174,10,47.537065249038,-52.7652878501536,866
"11",10010175,10,47.5351665923272,-52.7603975643731,971
"12",10010176,10,47.5353010505707,-52.7551826695461,450
"13",10010180,10,47.5166366585823,-52.7636264196044,518
"14",10010181,10,47.5221774134455,-52.7608181980657,434
"15",10010182,10,47.5193573669871,-52.7625010845849,399
"16",10010187,10,47.51978132803,-52.7495426639075,652
"17",10010191,10,47.5447601572582,-52.7012518155061,675
"18",10010192,10,47.5438024886945,-52.7099126555566,294
"19",10010193,10,47.545712159272,-52.7132851876671,451
"20",10010194,10,47.5407250406294,-52.7174372889343,223
"21",10010195,10,47.5390862710663,-52.7290388996799,621
"22",10010196,10,47.54203846563,-52.7294597565978,529
"23",10010198,10,47.543350676804,-52.7327412651508,407
"24",10010199,10,47.5389629564888,-52.7368681706081,440
"25",10010200,10,47.5425968667034,-52.7382492646872,369
"26",10010201,10,47.5403626262543,-52.7413134507723,488
"27",10010202,10,47.5396232552666,-52.7469853651858,440
"28",10010203,10,47.5422701531192,-52.7468019738265,354
"29",10010204,10,47.5374231751116,-52.7492266245842,553
"30",10010206,10,47.5420090328413,-52.7525754063359,811
"31",10010207,10,47.5453218125427,-52.7541499218413,1246
"32",10010208,10,47.5487337099574,-52.7584279759082,1767
"33",10010209,10,47.5513907374048,-52.7456944436412,482
"34",10010210,10,47.5466419655784,-52.7454601983854,401
"35",10010211,10,47.5450618109517,-52.7374643432628,641
"36",10010212,10,47.5486945526604,-52.7328150824355,350
"37",10010213,10,47.5455590169524,-52.7284267201144,604
"38",10010214,10,47.5487645213766,-52.7266068693658,346
"39",10010215,10,47.5480300524733,-52.7243624041362,383
"40",10010216,10,47.5505538375629,-52.7215816762014,401
"41",10010217,10,47.5512942580832,-52.7268991570013,370
"42",10010218,10,47.5533815413928,-52.7300698122434,315
"43",10010219,10,47.5517361139968,-52.7359878964325,576
"44",10010220,10,47.5543320261863,-52.7400719761317,335
"45",10010221,10,47.5568684264021,-52.731250258554,554
"46",10010222,10,47.5592431384951,-52.7331814259862,511
"47",10010223,10,47.56159218708,-52.7276955482045,495
"48",10010224,10,47.5578563440671,-52.7266481334268,427
"49",10010225,10,47.5596553361597,-52.7253160635656,247
"50",10010226,10,47.5596463743559,-52.7217723491034,593
"51",10010227,10,47.5619867363305,-52.7187321631108,349
"52",10010228,10,47.5629513830503,-52.7192011217616,374
"53",10010229,10,47.5645653260808,-52.7221455847916,449
"54",10010230,10,47.5657613773789,-52.719046790399,472
"55",10010231,10,47.5671041340268,-52.7231032578343,486
"56",10010232,10,47.565934170157,-52.726948448355,394
"57",10010233,10,47.567037233102,-52.7292235410709,389
"58",10010234,10,47.5641673586033,-52.7272167242633,498
"59",10010235,10,47.56426273289,-52.7331731865702,287
"60",10010236,10,47.5653993091424,-52.7357369178587,491
"61",10010237,10,47.5672705173105,-52.7355852559451,506
"62",10010238,10,47.5657680998111,-52.742668779084,578
"63",10010239,10,47.562205324037,-52.7388607591539,569
"64",10010240,10,47.5589370965234,-52.7436982469078,679
"65",10010241,10,47.557964956055,-52.7411051538403,481
"66",10010242,10,47.5577733131877,-52.7482602069469,627
"67",10010243,10,47.5545701654846,-52.7820858305847,1131
"68",10010244,10,47.5619325897123,-52.7641636143389,749
"69",10010245,10,47.5649780228893,-52.7596560277605,542
"70",10010246,10,47.5640969577528,-52.7535655164787,450
"71",10010247,10,47.5646842973469,-52.7500130520108,370
"72",10010248,10,47.5632156681301,-52.7460625126193,373
"73",10010249,10,47.5703087911741,-52.7476090851435,437
"74",10010250,10,47.5706231094251,-52.7272499122003,473
"75",10010251,10,47.5724123721957,-52.7229458698454,438
"76",10010252,10,47.5759819433159,-52.7196938627977,522
"77",10010253,10,47.5767878889995,-52.7247943252941,369
"78",10010254,10,47.5845651214804,-52.7192547038643,753
"79",10010255,10,47.5812230892022,-52.7169258635671,525
"80",10010256,10,47.5844085050198,-52.7110018978724,446
"81",10010257,10,47.5783586845035,-52.7128342725025,527
"82",10010258,10,47.5787426969411,-52.7087799460444,585
"83",10010259,10,47.5805139014289,-52.7063018604516,492
"84",10010260,10,47.5853956082,-52.7036012895921,402
"85",10010261,10,47.5879869921401,-52.7062572435647,513
"86",10010262,10,47.5912853198151,-52.7072073276137,429
"87",10010263,10,47.5931923674071,-52.7031149254454,521
"88",10010264,10,47.5949927082,-52.7068478079737,454
"89",10010265,10,47.5983234452932,-52.7046547228928,489
"90",10010266,10,47.5984640378835,-52.7046230555927,670
"91",10010267,10,47.6038997379017,-52.7099246968039,598
"92",10010268,10,47.6044941314011,-52.7123661918261,294
"93",10010269,10,47.6089609038592,-52.7119129992745,1071
"94",10010270,10,47.6097744623316,-52.7163406239249,786
"95",10010271,10,47.6120760302642,-52.701078504794,460
"96",10010272,10,47.609604849686,-52.702534818437,503
"97",10010273,10,47.6062870102102,-52.6963104613193,1511
"98",10010276,10,47.5987218520418,-52.6951232294077,266
"99",10010277,10,47.5973731084274,-52.6910634768045,577
"100",10010278,10,47.5958048143166,-52.6934744241591,194
"101",10010279,10,47.5912969181943,-52.6956351418277,1293
"102",10010280,10,47.5955876314165,-52.6877598658078,294
"103",10010281,10,47.5983387650943,-52.6879564383024,258
"104",10010282,10,47.5978429875531,-52.6866463181268,559
"105",10010283,10,47.5862562034062,-52.6899739427817,943
"106",10010284,10,47.5798477394549,-52.7017604406414,248
"107",10010285,10,47.5829036861405,-52.6994174379019,368
"108",10010286,10,47.5797143704239,-52.6898528011383,358
"109",10010290,10,47.570215922649,-52.7032388821325,479
"110",10010294,10,47.5644485953141,-52.7086421360189,526
"111",10010295,10,47.5677142052256,-52.7058342060448,436
"112",10010296,10,47.5694132926539,-52.7059797830525,401
"113",10010297,10,47.5706586215082,-52.7117038068988,429
"114",10010298,10,47.5687918056609,-52.7113359183518,443
"115",10010299,10,47.5653283977753,-52.7106202235237,553
"116",10010300,10,47.5626512290134,-52.7146034917852,330
"117",10010301,10,47.561298078301,-52.7135363939099,313
"118",10010302,10,47.5595827857312,-52.7160309232462,384
"119",10010303,10,47.5585310830694,-52.7179087937224,322
"120",10010304,10,47.5567070420122,-52.7188441203787,464
"121",10010305,10,47.5553617913877,-52.7168565396842,462
"122",10010306,10,47.5530849384304,-52.7188287770888,473
"123",10010307,10,47.555201641832,-52.7253140001345,345
"124",10010308,10,47.5650177895655,-52.7165633330568,345
"125",10010309,10,47.5697385475577,-52.7166618427152,800
"126",10010310,10,47.5739493325515,-52.7158831521488,429
"127",10010337,10,47.5925190437793,-52.7327642748677,910
"128",10010338,10,47.5917761734428,-52.7290794659142,541
"129",10010339,10,47.5938452206858,-52.7219525861719,582
"130",10010340,10,47.5957876092845,-52.7195268047965,498
"131",10010341,10,47.5954544885907,-52.7153335518933,318
"132",10010342,10,47.5958851178571,-52.7117532298015,410
"133",10010343,10,47.599246701478,-52.7158129225985,315
"134",10010344,10,47.6018800107695,-52.7189745152061,878
"135",10010345,10,47.6019836029624,-52.7247822650008,873
"136",10010346,10,47.5980285162174,-52.7222726896094,413
"137",10010348,10,47.607534497492,-52.7529785171561,1653
"138",10010356,10,47.5891357525669,-52.7133850076425,851
"139",10010357,10,47.588496048697,-52.7260374331652,299
"140",10010457,10,47.5234546378497,-52.7693077217611,460
"141",10010458,10,47.5255520731195,-52.765234105069,530
"142",10010459,10,47.528103666478,-52.7650635647067,468
"143",10010460,10,47.527522470892,-52.7579775681362,526
"144",10010461,10,47.5306120147455,-52.7630098617644,346
"145",10010482,10,47.5748704511163,-52.7012177572671,836
"146",10010484,10,47.5320090366174,-52.7545245033856,760
"147",10010485,10,47.6016755923692,-52.6972185312939,502
"148",10010486,10,47.5751841212253,-52.6876993468681,1193
"149",10010488,10,47.5378563028939,-52.7437759412037,561
"150",10010489,10,47.5357840028391,-52.7412496431193,270
"151",10010490,10,47.5331513710265,-52.7413460269261,475
"152",10010491,10,47.4986478660644,-52.7579347380543,1003
"153",10010492,10,47.509736268009,-52.7554162214927,588
"154",10010493,10,47.5135863047442,-52.7470043427202,362
"155",10010494,10,47.5091621100551,-52.751798655545,381
"156",10010495,10,47.5070233816878,-52.7517011814685,326
"157",10010496,10,48.0945344216809,-52.892016705658,347
"158",10010497,10,48.1171768961699,-52.9379970876558,425
"159",10010498,10,48.0870056098043,-52.9995734999461,608
"160",10010499,10,47.9794574007571,-53.0604942003752,242
"161",10010500,10,47.9494002884402,-53.0612577132139,508
"162",10010501,10,47.8847925524805,-53.1325426846968,276
"163",10010502,10,47.8448639255863,-53.1080008689474,414
"164",10010503,10,47.8749470540706,-53.0165188727126,222
"165",10010504,10,47.7744878507757,-53.1687714763939,328
"166",10010505,10,47.780462275497,-53.1752350512854,764
"167",10010506,10,47.7617516935455,-53.233413770001,463
"168",10010507,10,47.7687374973164,-53.2263010849841,376
"169",10010508,10,47.7788645802034,-53.2295902112788,443
"170",10010509,10,47.7712933457894,-53.2558016731302,376
"171",10010510,10,47.7439302884695,-53.2223343607039,364
"172",10010511,10,47.742827774749,-53.2170783834861,417
"173",10010512,10,47.7426144857688,-53.2095932596747,430
"174",10010513,10,47.737063699271,-53.2054561907014,348
"175",10010514,10,47.7367637209893,-53.2323989118595,376
"176",10010515,10,47.7390856216053,-53.2380708873789,514
"177",10010516,10,47.7319756241878,-53.238834526169,415
"178",10010517,10,47.727767788179,-53.2443209568024,682
"179",10010518,10,47.722721615188,-53.2303972507058,742
"180",10010519,10,47.7262860648192,-53.221695270166,408
"181",10010520,10,47.7133128424175,-53.21152009771,320
"182",10010521,10,47.7012644324073,-53.2100730108753,411
"183",10010522,10,47.6930166560024,-53.2173455698363,416
"184",10010523,10,47.6865378381189,-53.2331628676099,432
"185",10010524,10,47.6928876081823,-53.2283529201397,393
"186",10010525,10,47.6791253101208,-53.2517237525869,439
"187",10010526,10,47.6607766395963,-53.2694030640612,323
"188",10010527,10,47.663579975005,-53.2432315655506,382
"189",10010528,10,47.66017353,-53.22924707,0
"190",10010529,10,47.6510867780281,-53.2204481410499,400
"191",10010530,10,47.6433074779016,-53.2284531273203,358
"192",10010531,10,47.6369163314756,-53.2296868242159,252
"193",10010532,10,47.6470992375854,-53.2043066288178,305
"194",10010533,10,47.6534082712145,-53.2071280747889,338
"195",10010534,10,47.6726985916397,-53.1917055049808,343
"196",10010535,10,47.6041135416716,-53.249566831177,721
"197",10010536,10,47.5991689708117,-53.2496808089338,576
"198",10010537,10,47.5892368637522,-53.266383123289,723
"199",10010538,10,47.5900129806061,-53.2777333359776,475
"200",10010539,10,47.58015760011,-53.2712064780956,571
"201",10010540,10,47.5802200888759,-53.2898932580043,794
"202",10010541,10,47.5924674211222,-53.2935150893637,446
"203",10010542,10,47.5851657946726,-53.3158933833519,552
"204",10010543,10,47.5744960049984,-53.3142973123675,574
"205",10010544,10,47.5691594954956,-53.2875510986721,542
"206",10010545,10,47.55555873,-53.30381856,0
"207",10010546,10,47.5437340661389,-53.3112827238768,579
"208",10010547,10,47.5287651147614,-53.3027323910918,841
"209",10010548,10,47.545880321253,-53.2815038045981,559
"210",10010549,10,47.530614373699,-53.2717608201147,674
"211",10010550,10,47.5335221749489,-53.2440515267709,365
"212",10010551,10,47.5269858189327,-53.22701940456,376
